path,bytes,sha256
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/streaming_merged_summary.csv,18563,77116d2d1de3fd004c0e8507f9af1ad71b19d273121b82669710c24b9afe0e01
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/streaming_merged_summary_agg.csv,3693,5aad242a9d731ff8434c0f7765aee0ced1f33bf4bf113ff56d192f4b3d194193
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed19/streaming_summary.csv,3952,d3302e24de3c8c62d0766213ededa770481b5c822512bd28d8910344719aef0f
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed31/streaming_summary.csv,3933,1cfdaa6d6e794839f83ece6dec335039bff13d6f7ca8f206b15715199329a37f
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed43/streaming_summary.csv,3894,bfdeb7e6eec09d8b9ecaae6f3c6c0fd155d89196fabb1c96e956f580cc5d1e0f
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed59/streaming_summary.csv,3907,0522cbfad6122a538bde2a2b303e86509c32c91aa763b692816fbe8188767833
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed7/streaming_summary.csv,3913,65075d7327d84e577b7db795d47d90794104cb08b2320db03a36d536fa8a4564
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed19/streaming_task_outcomes.csv,308514,d8e572aa89a7373588438e74ea0ae00054a67872e3e8bcecbb78dc9076294f2f
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed31/streaming_task_outcomes.csv,308522,edac0d00f60a2000fee78f5230f4934e453ebaf14c734776a450c6ae8c34b20d
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed43/streaming_task_outcomes.csv,308529,a7bb549d239683c6dda248f0f56f237f5fd81c9423f2c9a3407429b12bafcb81
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed59/streaming_task_outcomes.csv,308530,b43fe0902f32873e7118e4c43ce431abc77e9f930877fcd018362e0abdfb20a5
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed7/streaming_task_outcomes.csv,306350,8ae3a5fac2d80b114d98be78ef6f4d7d9f035315b5adacbf2cd009cf1036f14b
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed19/streaming_detail.csv,6826835,df0c325b05605df10af1f263fdb744e085a276e2c79de5a2bae8928063bc7f31
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed31/streaming_detail.csv,6859079,67e99d69b420d1dfe070c991e5710b2b1bce57e1615a0412d21c63e47f055fb2
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed43/streaming_detail.csv,6884909,ff9c2cf50af57a1a219431cefd262e1932d831363a70e092ee813a709c4e34be
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed59/streaming_detail.csv,6872436,ecce9f09997c1e6c39196a26ebee9370a84978652905f4e0b64d9cc4858aec06
outputs/ccfa_protocol_securityeval_qwen05_seed7_full_gatefix_20260706/securityeval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed7/streaming_detail.csv,6865785,54df77c3264d8636ccf3879ec6daab87d9a9987fbe26d53cc0bb4a5ee51972c2
outputs/ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706/streaming_merged_summary.csv,17580,622672b6611ae66d67701295df746f0590ae571be9a5688eff87f0428ca10e5c
outputs/ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706/streaming_merged_summary_agg.csv,3473,2811d82c3e2b70f0f25e0f60b9786645bf56543f6cac7af87ca89e28dccb59b9
outputs/ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706/llmseceval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed19/streaming_summary.csv,3662,ba141fc52dc7401559dfbfe0f0b686eb3595211b7bb73477d0afb93d44d5bb40
outputs/ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706/llmseceval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed31/streaming_summary.csv,3703,b91e11cf4309df9c2a87fd6daefcb09c5ace463e466272fa16d0846c3298acba
outputs/ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706/llmseceval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed43/streaming_summary.csv,3728,914ecfbd15283525e56ffcae14226894aa267e989fc0bc6371f7124e60c38b76
outputs/ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706/llmseceval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed59/streaming_summary.csv,3703,69b1c694c38e22ff843bd891682cf5e6e8b231ad1faa8f1bd09449baa5b7a6ec
outputs/ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706/llmseceval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed7/streaming_summary.csv,3820,5ab80d66ff0d35b2515aefe53ff88492fb0211883ab4e259a5d505e3433f71ac
outputs/ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706/llmseceval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed19/streaming_task_outcomes.csv,352749,9a6c950c1109f1c7296c8eeb2be8aa362d299839253efb225c2cc51b07430f00
outputs/ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706/llmseceval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed31/streaming_task_outcomes.csv,352742,8f009ffd509f24189f60cac894c1a72df81622574b52fd6935f01bfa3b9a815d
outputs/ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706/llmseceval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed43/streaming_task_outcomes.csv,352751,425cf5c0d17d541eeb68dd1cc25c9d6fdecfd820ea691f8934d823490f2257e5
outputs/ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706/llmseceval_Qwen_Qwen2.5-Coder-0.5B-Instruct_seed59/streaming_task_outcomes.csv,352748,1fd6ee1dc28ab21a38335b1a433531fc442fa0e3539709126103cee87a06b87b
