signal,n,pearson,spearman,auc,precision_at_10,precision_at_50,precision_at_10pct,base_success_rate,lift_at_10,lift_at_50,lift_at_10pct,hit_at_10,hit_at_10pct,success_mean,failure_mean,success_failure_delta
detector_alignment,5346,0.32666746861018137,0.3280884976878913,0.6960288296786288,0.5,0.42,0.5009345794392523,0.37523381967826414,1.3325024925224327,1.1193020937188434,1.3349931513869606,1.0,1.0,6.613908275174476,4.100748502994012,2.5131597721804644
actual_qbw_acquisition,5346,0.38552950920660745,0.28989380215272426,0.7302119091826318,0.5,0.56,0.616822429906542,0.37523381967826414,1.3325024925224327,1.4924027916251248,1.6438348505884215,1.0,1.0,0.8745893244814426,0.660972676646499,0.2136166478349436
measurement_probability,5346,0.32281089964000476,0.2885401512773059,0.702395060327998,0.9,0.48,0.5588785046728972,0.37523381967826414,2.3985044865403786,1.2792023928215353,1.4894140009876913,1.0,1.0,0.04292994648027014,0.03860308753048085,0.004326858949789292
measurement_variance,5346,0.3232025420252133,0.2885401512773059,0.702395060327998,0.9,0.48,0.5588785046728972,0.37523381967826414,2.3985044865403786,1.2792023928215353,1.4894140009876913,1.0,1.0,0.04105640655973426,0.037070667290628724,0.0039857392691055385
qbw_detector_guard,5346,0.32560872270836255,0.27486336918793935,0.6951201783869947,0.6,0.74,0.6616822429906543,0.37523381967826414,1.5990029910269192,1.9721036889332002,1.7633864760857614,1.0,1.0,0.5936795428591914,0.3519058834005788,0.24177365945861262
guarded_qbw,5346,0.341586583287242,0.2545977348430184,0.7021407334881583,0.8,0.8,0.5682242990654206,0.37523381967826414,2.1320039880358923,2.1320039880358923,1.5143205896329703,1.0,1.0,0.7040978910427584,0.46858497800762144,0.235512913035137
qql_prior,5346,0.25895571886544244,0.24474738736905685,0.6597547178822813,0.9,0.4,0.5271028037383177,0.37523381967826414,2.3985044865403786,1.0660019940179462,1.4047315995937422,1.0,1.0,0.49806566402655755,0.43152037169185115,0.06654529233470641
classical_witness,5346,-0.20734466775295188,-0.1843098755900604,0.36406394588689023,0.2,0.14,0.23177570093457944,0.37523381967826414,0.5330009970089731,0.3731006979062812,0.6176833984029221,1.0,1.0,0.2497771656835629,0.3685332611727783,-0.1187560954892154
qbw_score,5346,-0.12920707691823136,-0.11860484987196246,0.41368767947654045,0.6,0.46,0.2523364485981308,0.37523381967826414,1.5990029910269192,1.225902293120638,0.672477893422536,1.0,1.0,0.13561224875737674,0.2034419146852144,-0.06782966592783765
qbw_plus_prior_detector,5346,-0.0017390770476914043,0.07997918209046394,0.5700662981116531,0.1,0.36,0.2616822429906542,0.37523381967826414,0.26650049850448654,0.9594017946161515,0.6973844820678151,1.0,1.0,0.42334953619286253,0.42298749685898873,0.00036203933387379816
